매입임대고유번호,자치구,법정동,지번,대지면적_m2,건폐율_pct,용적률_pct,주택형태,노후년수,임대세대수,지형높이,지형형상,도로접면,OSC공법유형
1927,송파구,풍납동,89-20,188.00,56.69,143.87,단독주택,27.0,6,평지,세로장방,세로한면(가),소형
1928,송파구,풍납동,142-56,,,,,,,평지,정방형,세로한면(가),소형
1929,송파구,풍납동,277-11,96.85,59.35,157.54,단독주택,29.4,6,평지,자루형,세로한면(가),소형
1930,송파구,풍납동,277-12,,,,,,,평지,세로장방,세로한면(가),소형
1931,송파구,풍납동,398-14,181.00,53.67,161.29,공동주택,28.2,7,평지,정방형,세로한면(가),소형
1932,송파구,풍납동,400-4,,,,,,,평지,세로장방,세로한면(가),소형
2048,강동구,명이동,337-26,180.00,59.83,226.21,공동주택,21.5,7,평지,세로장방,세로한면(가),소형
2103,강동구,둔촌동,52-13,204.30,58.25,204.36,공동주택,20.1,7,평지,사다리형,중로한면,대형
2105,강동구,둔촌동,65-3,,,,,,,평지,세로장방,소로한면,중형
2109,강동구,둔촌동,439-1,160.40,52.11,100.66,단독주택,33.5,7,평지,세로장방,세로한면(불),소형
2113,강동구,둔촌동,457-3,,,,,,,평지,정방형,세로한면(가),소형
2119,강동구,암사동,437-21,166.00,59.13,148.71,단독주택,27.5,5,평지,부정형,소로한면,소형
2125,강동구,암사동,461-6,,,,,,,평지,세로장방,세로한면(가),소형
2131,강동구,암사동,478-52,166.00,59.99,201.64,공동주택,21.0,5,평지,사다리형,세로한면(가),소형
2147,강동구,성내동,136-18,,,,,,,평지,가로장방,세로한면(가),소형
2148,강동구,성내동,150-4,195.10,59.21,143.63,단독주택,27.5,6,평지,사다리형,세로각지(가),소형
2153,강동구,성내동,387-2,,,,,,,평지,세로장방,세로한면(불),소형
2155,강동구,성내동,405-21,216.60,48.86,76.72,단독주택,32.1,7,평지,자루형,세로한면(가),소형
2157,강동구,성내동,411-18,,,,,,,평지,가로장방,세로한면(가),소형
2158,강동구,성내동,423-60,230.10,53.27,145.52,단독주택,20.0,10,평지,자루형,소로한면,소형
2159,강동구,성내동,431-4,,,,,,,평지,세로장방,세로한면(가),소형
2160,강동구,성내동,433-7,205.00,59.99,168.33,단독주택,28.0,5,평지,세로장방,소로한면,중형
2161,강동구,성내동,435-32,,,,,,,평지,자루형,소로한면,소형
2166,강동구,성내동,519-3,182.30,59.74,182.79,공동주택,26.3,6,평지,세로장방,중로한면,대형
2168,강동구,천호동,18-18,,,,,,,평지,세로장방,세로한면(가),소형
2174,강동구,천호동,30-10,169.30,60.14,182.99,단독주택,24.0,8,평지,자루형,세로한면(가),소형
2175,강동구,천호동,36-3,172.10,54.98,103.96,단독주택,33.1,6,완경사,사다리형,세로한면(불),소형
2187,강동구,천호동,185-19,,,,,,,완경사,정방형,세로한면(가),소형
2190,강동구,천호동,228-7,350.50,59.95,102.04,단독주택,32.0,12,평지,사다리형,세로한면(가),소형
2194,강동구,천호동,289-11,,,,,,,평지,정방형,세로한면(가),소형
2199,강동구,천호동,294-15,86.00,59.68,195.91,공동주택,21.0,3,평지,정방형,세로한면(가),소형
2205,강동구,천호동,315-13,,,,,,,평지,세로장방,세로한면(가),소형
2210,강동구,천호동,389-10,165.90,56.85,163.27,단독주택,29.9,5,평지,사다리형,세로한면(가),소형
2213,강동구,천호동,555-2,,,,,,,완경사,사다리형,세로각지(불),소형
1920,송파구,잠실동,218-5,373.60,59.66,174.06,공동주택,28.9,7,평지,가로장방,세로한면(가),
1921,송파구,잠실동,226-2,,,,,,,평지,세로장방,세로한면(가),소형
1922,송파구,잠실동,226-15,192.50,59.86,237.59,공동주택,23.3,12,평지,세로장방,세로한면(가),소형
1924,송파구,잠실동,321-8,,,,,,,평지,세로장방,세로한면(가),소형
1926,송파구,잠실동,341-1,192.90,52.60,197.84,공동주택,22.9,12,평지,사다리형,세로한면(가),소형
1940,송파구,송파동,185-10,,,,,,,평지,세로장방,세로한면(가),소형
1941,송파구,석촌동,7-9,,,,,,,평지,세로장방,세로한면(가),소형
1942,송파구,석촌동,12-4,333.00,59.56,162.41,단독주택,27.3,11,평지,세로장방,소로한면,중형
1943,송파구,석촌동,52-2,,,,,,,평지,사다리형,세로한면(가),소형
1945,송파구,석촌동,77-4,,,,,,,평지,정방형,세로각지(가),소형
1946,송파구,석촌동,150-34,201.60,59.70,218.09,공동주택,21.8,10,평지,세로장방,세로한면(가),소형
1949,송파구,석촌동,233-9,,,,,,,평지,세로장방,세로한면(가),소형
1950,송파구,석촌동,234-8,202.40,59.94,177.46,단독주택,28.2,11,평지,세로장방,세로한면(가),소형
1951,송파구,석촌동,242-3,,,,,,,평지,세로장방,세로한면(가),소형
1957,송파구,삼전동,38-23,231.40,59.99,169.42,단독주택,27.2,9,평지,세로장방,세로한면(가),소형
1958,송파구,삼전동,41-12,,,,,,,평지,세로장방,세로한면(가),소형
1959,송파구,삼전동,50-1,224.22,59.81,174.47,단독주택,30.3,8,평지,세로장방,세로한면(가),소형
1960,송파구,삼전동,55-2,,,,,,,평지,세로장방,세로한면(가),소형
1961,송파구,삼전동,64-4,391.59,46.21,126.67,단독주택,22.1,12,평지,세로장방,세로한면(가),소형
1962,송파구,삼전동,168-6,,,,,,,평지,자루형,소로한면,소형
1964,송파구,가락동,4-2,210.00,71.09,225.73,공동주택,21.0,5,평지,세로장방,세로한면(가),소형
1968,송파구,가락동,129-4,,,,,,,평지,세로장방,세로한면(가),소형
1976,송파구,가락동,194-9,199.30,59.76,223.99,공동주택,21.3,9,평지,가로장방,세로한면(가),소형
1979,송파구,문정동,48-11,,,,,,,평지,정방형,세로한면(가),소형
1980,송파구,문정동,100-2,,,,,,,평지,가로장방,세로한면(가),
1981,송파구,문정동,110-16,,,,,,,평지,세로장방,세로한면(가),
1984,송파구,방이동,138-9,213.00,59.73,210.14,단독주택,24.2,10,평지,세로장방,세로한면(가),소형
1985,송파구,방이동,140-16,,,,,,,평지,세로장방,세로한면(가),소형
1986,송파구,방이동,145-37,261.40,59.89,201.77,공동주택,22.2,10,평지,세로장방,세로한면(가),소형
1990,송파구,방이동,162-17,,,,,,,평지,세로장방,세로한면(가),소형
