자치구,법정동,지번,경도,위도,PNU,대지면적_m2,건폐율_pct,용적률_pct,주택형태,노후년수,임대세대수,공시지가_2026_원per_m2,지형높이,지형형상,도로접면,OSC공법,신규임대유형,지하철역_800m,버스정류장_800m,초등학교_800m,중고등학교_800m
송파구,풍납동,89-20,127.118176,37.5389338,1171010300100890020,188.00,56.69,143.87,단독주택,27.0,6,4582000,평지,세로장방,세로한면(가),소형,신혼부부,2,28,1,2
송파구,풍납동,142-56,127.1195269,37.537108,1171010300101420056,,,,,,,4280000,평지,정방형,세로한면(가),소형,신혼부부,3,41,3,2
송파구,풍납동,277-11,127.1143259,37.532077,1171010300102770011,96.85,59.35,157.54,단독주택,29.4,6,4040000,평지,자루형,세로한면(가),소형,청년,1,34,4,4
송파구,풍납동,277-12,127.1140553,37.5318753,1171010300102770012,,,,,,,4868000,평지,세로장방,세로한면(가),소형,신혼부부,1,38,4,4
송파구,풍납동,398-14,127.1157216,37.5279789,1171010300103980014,181.00,53.67,161.29,공동주택,28.2,7,5739000,평지,정방형,세로한면(가),소형,청년,1,40,4,4
송파구,풍납동,400-4,127.1172759,37.5276887,1171010300104000004,,,,,,,6995000,평지,세로장방,세로한면(가),소형,청년,1,38,4,4
강동구,둔촌동,52-13,127.1440828,37.532785,1174010600100520013,204.30,58.25,204.36,공동주택,20.1,7,4715000,평지,사다리형,중로한면,대형,청년,2,55,3,3
강동구,둔촌동,65-3,127.1424074,37.5334533,1174010600100650003,,,,,,,6086000,평지,세로장방,소로한면,중형,청년,2,60,3,3
강동구,둔촌동,439-1,127.1385879,37.5320883,1174010600104390001,160.40,52.11,100.66,단독주택,33.5,7,4824000,평지,세로장방,세로한면(불),소형,청년,3,57,2,4
강동구,둔촌동,457-3,127.141718,37.5311239,1174010600104570003,,,,,,,4654000,평지,정방형,세로한면(가),소형,청년,3,61,2,3
강동구,암사동,437-21,127.1376411,37.5531354,1174010700104370021,166.00,59.13,148.71,단독주택,27.5,5,4186000,평지,부정형,소로한면,소형,신혼부부,2,51,3,6
강동구,암사동,461-6,127.1306233,37.5540464,1174010700104610006,,,,,,,5144000,평지,세로장방,세로한면(가),소형,청년,2,37,2,3
강동구,암사동,478-52,127.1360114,37.5502815,1174010700104780052,166.00,59.99,201.64,공동주택,21.0,5,4220000,평지,사다리형,세로한면(가),소형,청년,4,54,4,6
강동구,성내동,136-18,127.1261261,37.5341731,1174010800101360018,,,,,,,4461000,평지,가로장방,세로한면(가),소형,청년,4,62,3,4
강동구,성내동,150-4,127.1291529,37.5349876,1174010800101500004,195.10,59.21,143.63,단독주택,27.5,6,5563000,평지,사다리형,세로각지(가),소형,청년,3,65,2,2
강동구,성내동,387-2,127.1360906,37.5324953,1174010800103870002,,,,,,,4370000,평지,세로장방,세로한면(불),소형,청년,3,56,2,4
강동구,성내동,405-21,127.1336376,37.5313591,1174010800104050021,216.60,48.86,76.72,단독주택,32.1,7,4408000,평지,자루형,세로한면(가),소형,청년,2,53,2,3
강동구,성내동,411-18,127.1351136,37.530146,1174010800104110018,,,,,,,4407000,평지,가로장방,세로한면(가),소형,청년,2,55,2,4
강동구,성내동,423-60,127.1313962,37.5281694,1174010800104230060,230.10,53.27,145.52,단독주택,20.0,10,4822000,평지,자루형,소로한면,소형,청년,1,40,1,4
강동구,성내동,431-4,127.1319932,37.5269845,1174010800104310004,,,,,,,4858000,평지,세로장방,세로한면(가),소형,청년,1,39,1,4
강동구,성내동,433-7,127.1310779,37.5265905,1174010800104330007,205.00,59.99,168.33,단독주택,28.0,5,5607000,평지,세로장방,소로한면,중형,청년,1,40,1,3
강동구,성내동,435-32,127.1303472,37.5259889,1174010800104350032,,,,,,,4652000,평지,자루형,소로한면,소형,청년,1,39,1,3
강동구,성내동,519-3,127.1291242,37.5306879,1174010800105190003,182.30,59.74,182.79,공동주택,26.3,6,7506000,평지,세로장방,중로한면,대형,청년,3,60,2,1
강동구,천호동,18-18,127.1392267,37.5485193,1174010900100180018,,,,,,,4840000,평지,세로장방,세로한면(가),소형,청년,2,48,3,4
강동구,천호동,30-10,127.1431169,37.5483871,1174010900100300010,169.30,60.14,182.99,단독주택,24.0,8,4021000,평지,자루형,세로한면(가),소형,신혼부부,2,50,4,4
강동구,천호동,36-3,127.1397466,37.5475037,1174010900100360003,172.10,54.98,103.96,단독주택,33.1,6,3812000,완경사,사다리형,세로한면(불),소형,신혼부부,2,48,3,3
강동구,천호동,185-19,127.1345983,37.5410048,1174010900101850019,,,,,,,4560000,완경사,정방형,세로한면(가),소형,신혼부부,2,59,4,2
강동구,천호동,228-7,127.137494,37.5468611,1174010900102280007,350.50,59.95,102.04,단독주택,32.0,12,4482000,평지,사다리형,세로한면(가),소형,청년,2,47,4,3
강동구,천호동,289-11,127.1297047,37.5484101,1174010900102890011,,,,,,,4488000,평지,정방형,세로한면(가),소형,신혼부부,1,41,4,1
강동구,천호동,294-15,127.1330174,37.5456738,1174010900102940015,86.00,59.68,195.91,공동주택,21.0,3,4434000,평지,정방형,세로한면(가),소형,청년,1,47,4,2
강동구,천호동,315-13,127.127214,37.5470608,1174010900103150013,,,,,,,4557000,평지,세로장방,세로한면(가),소형,청년,1,44,3,1
강동구,천호동,389-10,127.1295205,37.5433191,1174010900103890010,165.90,56.85,163.27,단독주택,29.9,5,5038000,평지,사다리형,세로한면(가),소형,청년,3,50,4,1
강동구,천호동,555-2,127.1294678,37.5400537,1174010900105550002,,,,,,,5168000,완경사,사다리형,세로각지(불),소형,청년,3,50,3,2
송파구,잠실동,218-5,127.0831468,37.5085841,1171010100102180005,373.60,59.66,174.06,공동주택,28.9,7,8702000,평지,가로장방,세로한면(가),,,,,,
송파구,잠실동,226-2,127.0825102,37.5071128,1171010100102260002,,,,,,,7675000,평지,세로장방,세로한면(가),소형,,,,,
송파구,잠실동,226-15,127.0826275,37.5070794,1171010100102260015,192.50,59.86,237.59,공동주택,23.3,12,7675000,평지,세로장방,세로한면(가),소형,,,,,
송파구,잠실동,321-8,127.0829941,37.5037858,1171010100103210008,,,,,,,6856000,평지,세로장방,세로한면(가),소형,,,,,
송파구,잠실동,341-1,127.0841324,37.5017105,1171010100103410001,192.90,52.60,197.84,공동주택,22.9,12,6796000,평지,사다리형,세로한면(가),소형,,,,,
송파구,송파동,185-10,127.1154504,37.4993489,1171010400101850010,,,,,,,7635000,평지,세로장방,세로한면(가),소형,,,,,
송파구,석촌동,7-9,127.0980127,37.5041268,1171010500100070009,,,,,,,6970000,평지,세로장방,세로한면(가),소형,,,,,
송파구,석촌동,12-4,127.098281,37.5035571,1171010500100120004,333.00,59.56,162.41,단독주택,27.3,11,7336000,평지,세로장방,소로한면,중형,,,,,
송파구,석촌동,52-2,127.1001614,37.5059636,1171010500100520002,,,,,,,7269000,평지,사다리형,세로한면(가),소형,,,,,
송파구,석촌동,77-4,127.1037311,37.5043619,1171010500100770004,,,,,,,7355000,평지,정방형,세로각지(가),소형,,,,,
송파구,석촌동,150-34,127.1028851,37.5049263,1171010500101500034,201.60,59.70,218.09,공동주택,21.8,10,6924000,평지,세로장방,세로한면(가),소형,,,,,
송파구,석촌동,233-9,127.0991502,37.5014463,1171010500102330009,,,,,,,6688000,평지,세로장방,세로한면(가),소형,,,,,
송파구,석촌동,234-8,127.0991488,37.5018347,1171010500102340008,202.40,59.94,177.46,단독주택,28.2,11,6688000,평지,세로장방,세로한면(가),소형,,,,,
송파구,석촌동,242-3,127.1014337,37.4999756,1171010500102420003,,,,,,,6499000,평지,세로장방,세로한면(가),소형,,,,,
